band,decl,decl_err,eta_int,extract_type,f_datapoints,f_int,f_int_err,freq_eff,ra,ra_err,runcatid,tau_time,taustart_ts,v_int,xtrsrc
23,27.276802052,0.0939957153699,0.111851448702,0,16,25.2702848463,6.24546759841,61816408.0,197.939797871,0.0969698051376,198,1.0,2017-02-25 01:30:25,0.0969638071802,10972
24,27.2202075566,0.0929762652758,0.187944978271,0,16,29.213950745,7.13657541347,58300780.0,197.803677046,0.0957927949496,198,1.0,2017-02-25 01:30:25,0.125313915894,10938
24,27.2220873684,0.0905876547413,0.192568716502,0,17,27.6107448233,6.57161249993,58300780.0,197.815010726,0.093335818205,198,1.0,2017-02-25 01:30:26,0.12495274606,11078
23,27.2842443062,0.0990858832174,0.113392793663,0,17,24.2258756848,6.31167320573,61816408.0,197.87622713,0.102218450793,198,1.0,2017-02-25 01:30:26,0.0966305314478,11114
23,27.2794656511,0.0918143600377,0.12224973933,0,18,25.1854968657,6.07980696789,61816408.0,197.928293519,0.0947184215267,198,1.0,2017-02-25 01:30:27,0.0986802073596,11252
24,27.2172070597,0.0904217767575,0.194533862083,0,18,27.5775680035,6.55148067283,58346356.0,197.826132714,0.0931586908494,198,1.0,2017-02-25 01:30:27,0.124092746214,11213
24,27.2141702026,0.106070012355,0.183819422747,0,19,24.8534593144,6.92784963543,58320312.0,197.876217004,0.109292861419,198,1.0,2017-02-25 01:30:28,0.120554228708,11352
23,27.2761585854,0.0891255363867,0.145731595881,0,19,26.9450272254,6.31330348027,61816408.0,197.90144486,0.0919315617607,198,1.0,2017-02-25 01:30:28,0.106254755383,11387
24,27.2230316674,0.102759743684,0.174280599721,0,20,24.235372084,6.54427011947,58398436.0,197.815625191,0.105879822925,198,1.0,2017-02-25 01:30:29,0.117479100584,11482
23,27.2648916945,0.0998789347213,0.146976476952,0,20,25.1965088349,6.61643685887,61816408.0,197.922710981,0.103011463091,198,1.0,2017-02-25 01:30:29,0.106211289855,11517
24,27.2359628057,0.0892037241384,0.190397426583,0,21,29.5626917419,6.93005529492,58346356.0,197.888634677,0.0919442542668,198,1.0,2017-02-25 01:30:30,0.1215289374,11615
23,27.2806156313,0.0953632310759,0.148034083924,0,21,25.1904091762,6.31602281343,61816408.0,197.904722653,0.0983736826318,198,1.0,2017-02-25 01:30:30,0.105853929186,11655
24,27.2390200559,0.0903434205707,0.18133262815,0,22,24.7599200173,5.87823911201,58370536.0,197.855891356,0.0931156013691,198,1.0,2017-02-25 01:30:31,0.11861701358,11744
23,27.3009913004,0.085396881857,0.156532484892,0,22,26.1040585256,5.86123555198,61816408.0,197.908782175,0.0881208654312,198,1.0,2017-02-25 01:30:31,0.107253289009,11781
23,27.2982196681,0.0992460925932,0.150099741238,0,23,23.6171001579,6.16359587827,61816408.0,197.884778666,0.102403985914,198,1.0,2017-02-25 01:30:32,0.104846053785,11907
24,27.2116200829,0.0946126652563,0.182971432965,0,23,28.1246786861,6.99103677884,58346356.0,197.832801567,0.0974648761513,198,1.0,2017-02-25 01:30:32,0.118468355679,11870
24,27.265059353,0.0902333971139,0.176972466517,0,24,26.2916225512,6.23592284804,58320312.0,197.887998923,0.0930489969274,198,1.0,2017-02-25 01:30:33,0.116110424873,12000
23,27.2268760603,0.0928234842806,0.150750197216,0,24,25.4579116459,6.20975464384,61816408.0,197.89467616,0.0956598045041,198,1.0,2017-02-25 01:30:33,0.104490793044,12041
24,27.2270553371,0.0967860355008,0.172845856713,0,25,26.9556295325,6.85555329664,58320312.0,197.848084552,0.0997324239753,198,1.0,2017-02-25 01:30:34,0.11435450038,12122
23,27.2934840746,0.0946083371596,0.150376469653,0,25,25.4192122552,6.32326964695,61816408.0,197.89290719,0.0976092507138,198,1.0,2017-02-25 01:30:34,0.103924165487,12161
24,27.28032202,0.0921917871838,0.17392707645,0,26,28.1961842374,6.83371246968,58300780.0,197.880669184,0.0950901116663,198,1.0,2017-02-25 01:30:35,0.11407972137,12251
23,27.2278433237,0.0845749841444,0.16061836896,0,26,26.9927824894,5.99754450636,61816408.0,197.824394466,0.0871418208983,198,1.0,2017-02-25 01:30:35,0.106262815367,12293
23,27.2467156649,0.0949626893788,0.156950385574,0,27,24.867155016,6.2064718202,61816408.0,197.886297072,0.097893083732,198,1.0,2017-02-25 01:30:36,0.104753584226,12409
24,27.2456720097,0.105410215287,0.171931481648,0,27,22.9319552075,6.35351055811,58398436.0,197.84971101,0.108655034376,198,1.0,2017-02-25 01:30:36,0.113602880062,12370
23,27.2709614584,0.10450525794,0.151287445171,0,28,22.9042483435,6.29308703223,61816408.0,197.893351276,0.10777891848,198,1.0,2017-02-25 01:30:37,0.102925819646,12546
24,27.2881791524,0.102211276611,0.165714141597,0,28,25.5492189,6.8663343885,58320312.0,197.874011278,0.105438199334,198,1.0,2017-02-25 01:30:37,0.11145705665,12507
24,27.2177146187,0.0938955334645,0.163424282293,0,29,27.3056080828,6.73670988252,58346356.0,197.895652801,0.0967449798227,198,1.0,2017-02-25 01:30:38,0.110272064693,12646
23,27.2355143294,0.103469531252,0.147439283119,0,29,22.0236383353,5.98897726285,61816408.0,197.870033706,0.106638514898,198,1.0,2017-02-25 01:30:38,0.101798679244,12687
24,27.2063676729,0.0980132185851,0.158716806246,0,30,24.1553918163,6.21992229932,58370536.0,197.837577981,0.100953827193,198,1.0,2017-02-25 01:30:39,0.108784843033,12790
23,27.2914854901,0.0955701803094,0.143345177105,0,30,24.3027789404,6.1064597617,61816408.0,197.863513963,0.0985862483348,198,1.0,2017-02-25 01:30:39,0.10020131355,12824
24,27.2050268354,0.123829781723,0.161215391233,0,31,21.6907116091,7.05853833989,58300780.0,197.868819937,0.12756271965,198,1.0,2017-02-25 01:30:40,0.110323009273,12936
23,27.2204354366,0.107636442242,0.142381325896,0,31,21.2195725375,6.00193697316,61816408.0,197.852723262,0.110899079165,198,1.0,2017-02-25 01:30:40,0.100122760245,12973
23,27.2075800678,0.115006445225,0.149667129683,0,32,19.5625608075,5.91143775802,61816408.0,197.810436274,0.118456158334,198,1.0,2017-02-25 01:30:41,0.102914915959,13135
24,27.2774366807,0.10542989929,0.160525472767,0,32,22.6586589762,6.28049724715,58320312.0,197.852723044,0.108729481946,198,1.0,2017-02-25 01:30:41,0.11019250781,13089
24,27.2288931621,0.128015912945,0.172925110799,0,33,19.8878082411,6.69281608204,58370536.0,197.927966306,0.131947641551,198,1.0,2017-02-25 01:30:42,0.114864727481,13238
23,27.2443317327,0.103057184647,0.151710312579,0,33,20.4656109329,5.54338678728,61816408.0,197.873251379,0.106225815183,198,1.0,2017-02-25 01:30:42,0.103626511591,13276
23,27.2756540437,0.110593725733,0.161537557732,0,34,19.0853374904,5.55024940089,61816408.0,197.954979106,0.114080064322,198,1.0,2017-02-25 01:30:43,0.106767344958,13416
24,27.2324337032,0.125713270957,0.179476887955,0,34,20.5137666253,6.77827312024,58398436.0,197.836143961,0.129550136197,198,1.0,2017-02-25 01:30:43,0.117601622302,13376
24,27.2319096977,0.112298952984,0.175033765004,0,35,23.4943161286,6.93344804918,58346356.0,197.803156337,0.115708693066,198,1.0,2017-02-25 01:30:44,0.116326545258,13521
23,27.2542879441,0.110342102092,0.162458947101,0,35,20.2256228726,5.86640084649,61816408.0,197.861019686,0.113751248193,198,1.0,2017-02-25 01:30:44,0.107427975059,13560
23,27.2832996873,0.130200531171,0.169650414599,0,36,18.6058028647,6.37098632395,61816408.0,197.90768347,0.134314372525,198,1.0,2017-02-25 01:30:45,0.110902216707,13700
24,27.2468812449,0.131193580382,0.176401520979,0,36,21.1591534936,7.2975319897,58320312.0,197.84342887,0.135233750363,198,1.0,2017-02-25 01:30:45,0.117563887908,13660
23,27.2551326608,0.112712210891,0.168687309072,0,37,20.3992135646,6.04374418823,61816408.0,197.841660986,0.116189349092,198,1.0,2017-02-25 01:30:46,0.110961913598,13837
24,27.2377688554,0.129166299387,0.175032797461,0,37,21.8830227005,7.42960170972,58320312.0,197.827191045,0.133115502365,198,1.0,2017-02-25 01:30:46,0.117670408505,13795
23,27.2155915823,0.0964416231873,0.164203670173,0,38,22.8993104982,5.8025832305,61816408.0,197.901651397,0.0993576880404,198,1.0,2017-02-25 01:30:47,0.1094354807,13971
24,27.2298859298,0.123025983211,0.172596355692,0,38,22.369502051,7.23216617381,58320312.0,197.773646395,0.12674925577,198,1.0,2017-02-25 01:30:47,0.117203138179,13927
23,27.2074568666,0.120209775314,0.168718965118,0,39,19.0603073705,6.02105471575,61816408.0,197.890931138,0.123833399748,198,1.0,2017-02-25 01:30:48,0.111429217491,14105
24,27.2506134105,0.140740405321,0.187164140025,1,39,18.5323373456,6.85752781232,58346356.0,197.867456326,0.145093745021,198,1.0,2017-02-25 01:30:48,0.122745471578,14155
24,27.2501855027,0.13630429749,0.192442495508,1,40,19.8005070289,7.095545921,58320312.0,197.867689084,0.140515367722,198,1.0,2017-02-25 01:30:49,0.125235382087,14288
23,27.2274607639,0.122976573517,0.174988282686,0,40,18.5880868701,6.00796643952,61816408.0,197.870397355,0.126720558902,198,1.0,2017-02-25 01:30:49,0.114006989576,14237
23,27.2847719302,0.127508527774,0.182625744851,0,41,18.131085599,6.07934539645,61816408.0,197.863591023,0.131518033699,198,1.0,2017-02-25 01:30:50,0.117125004109,14378
24,27.2189632045,0.119919550719,0.187631449932,0,41,24.1906059288,7.6214812513,58300780.0,197.703747975,0.123499373372,198,1.0,2017-02-25 01:30:50,0.123660280127,14334
23,27.2289643709,0.122543401854,0.181615870098,0,42,19.8609598333,6.39691825645,61816408.0,197.887254551,0.12627985225,198,1.0,2017-02-25 01:30:51,0.117302442644,14515
24,27.2499692817,0.165462997562,0.207022638163,1,42,16.8516713536,7.33196863237,58300780.0,197.86608672,0.170591799377,198,1.0,2017-02-25 01:30:51,0.131761362751,14565
24,27.2497761578,0.166171287329,0.215114332141,1,43,18.1324927978,7.92297787616,58300780.0,197.866281342,0.171320329162,198,1.0,2017-02-25 01:30:52,0.136216499185,14704
23,27.2543492156,0.12184224375,0.182516519322,0,43,19.3075184856,6.18312763968,61816408.0,197.768917672,0.125573670458,198,1.0,2017-02-25 01:30:52,0.118085825984,14654
23,27.3115238081,0.133974252763,0.192035406269,0,44,17.3980020939,6.13158390887,61816408.0,197.925080937,0.138270595928,198,1.0,2017-02-25 01:30:53,0.121855903698,14804
